project,target,configuration,hash,code,status,start,end
b,test,,6583803513031233207,0,success,1722162894599,1722162895775
b,build,,14046049006750944953,0,success,1722162920271,1722162921262
a,build,,14042160691123158282,0,success,1722162921264,1722162922288
b,build,,14046049006750944953,0,local-cache-kept-existing,1722162924854,1722162924887
a,build,,14042160691123158282,0,local-cache-kept-existing,1722162924890,1722162924892
b,build,,14046049006750944953,0,local-cache-kept-existing,1722162954533,1722162954565
a,build,,14042160691123158282,0,local-cache-kept-existing,1722162954568,1722162954570
b,build,,14046049006750944953,0,local-cache,1722163410479,1722163410527
a,build,,14042160691123158282,0,local-cache,1722163410531,1722163410538
a,start,,4975084774744268122,0,success,1722163410881,1722163412715
